标题,标题1,作者,内容
第二版 组织工作,青海互助精准设标考核扶贫干部,,"本报互助讯 （通讯员 王克晖）在2018年扶贫干部年度考核工作中，青海互助县科学设置考核指标，突出导向动态考核，强化考核结果运用，进一步提升扶贫干部工作积极性。
考核对象是选派到118个贫困村和深度贫困地区有贫困人口的24个行政村的468名第一书记和驻村工作队员，选派到精准扶贫工作任务较重的非贫困村的25名扶贫（驻村）干部。根据县乡村三级承担的不同任务，精准设置考核细则，重点考核项目落实、产业发展、结对帮扶等内容。通过入户走访、听取汇报、查阅资料、跟踪了解、实地查看等方式，实行动态考核。对脱贫攻坚的进展及成效逐一核查、建立考核档案，最后形成量化分值。同时，对第一书记和扶贫（驻村）工作队员履职期间廉洁自律情况向相关单位征求意见，并纳入考核成绩。
该县依照季度、半年、年度考核结果，对第一书记和扶贫（驻村）工作队员履职情况进行全面考核评价，并将考核结果作为干部选拔任用、评聘职称、表彰先进的重要依据，引导各级党员干部将更多精力向精准脱贫倾斜。"
第二版 组织工作,图片报道,,"
近年来，吉林珲春市鼓励有能力、有专长的党员干部多下基层，帮助农村脱贫攻坚。图为该市党员干部到苹果梨种植基地进行技术指导。 邓树坤 李正变 摄影报道"
第二版 组织工作,山东荣成干部“双提”工程促担当,,"本报荣成讯 （通讯员 荣祖宣）近期，山东荣成市实施干部队伍素质、状态“双提”工程，大力解决能力不足不会干、精神懈怠不愿干、态度消极不去干等问题，为突破式发展积蓄力量。
该市对领导干部提出讲政治、抓队伍、钻业务、争一流、善创新五项要求，并设计了相关量化考核指标。针对考核中发现的问题，采取诫勉谈话、调离岗位、引咎辞职、党纪政纪处分等惩戒问责手段。该市坚持正推倒逼双向用力，正推包括专业竞岗和专业培训，对专业性强、职责权力重的岗位，重新设定岗位标准，组织竞争上岗，让想干事的人有机会。倒逼，即以部门为单位集中开展作风整顿大检查活动，逐人建立整改台账，通过常态化督导强作风、提状态。"
第二版 组织工作,湖南宁远执行力考核打破“大锅饭”,,"本报宁远讯 （通讯员 廖佳 周玲）近年来，湖南宁远县在干部年终考核中突出执行力考核，破解“大锅饭”问题，激发广大干部干事创业热情。
该县结合考核对象工作岗位、行业领域、单位层次等因素的差别，科学设置共性指标、重点指标、职能指标和约束性指标四大体系，分层次制定乡镇（街道）党政正职、县直正科级单位党政正职、乡镇（街道）其他县管干部、县直单位其他县管干部等四类人员考核细则，重点考核干部在落实工作中的执行力。
在结果运用上，该县注重把执行力考核与绩效评估、年度考核、干部管理等工作结合起来。去年，将干部执行力考核结果与干部绩效评估奖金挂钩，分好、较好、一般三个等次发放绩效评估奖金，每个等级资金差额不低于10%，等次为差的不发放绩效评估奖。"
第二版 组织工作,贵州黔西南州：加强脱贫一线干部健康管理,,"本报兴义讯 （通讯员 张剑）2018年底，贵州黔西南州印发《关于进一步激励广大干部新时代新担当新作为的实施意见》和《加强脱贫攻坚一线干部健康管理工作实施方案》，激励各级干部在新时代强化新担当、展现新气象、实现新作为，奋力夺取脱贫攻坚战全面胜利。
《实施意见》共7个部分25条措施，包括大力选拔脱贫攻坚一线敢担当善作为干部、加强干部考核、完善容错纠错机制、全面增强干部“八种本领”、关心关爱干部等内容。《实施方案》共5个部分12条措施，包括关心关爱脱贫攻坚一线干部身体健康、教育引导干部强化保健意识、严格落实带薪休假制度、加大干部关心关爱力度等内容。
该州格外关心关注脱贫攻坚一线干部的健康问题，要求综合运用健康体检、疾病防治、健康教育、人文关怀、带薪休假等措施，切实加强脱贫攻坚一线干部健康管理。州县两级建立干部保健基地，完善干部保健工作机制，健全健康体检制度，落实重大疾病和重大事项报告制度。积极开展健康教育活动、文体活动，帮助干部缓解压力、促进身心健康。全面推行带薪休假制度，保障干部职工休假合法权益。加大干部关心关爱力度，经常性开展谈心谈话，及时帮助干部放下思想包袱，疏导心理情绪，解决生活难题，让干部拥有健康的体魄和良好的精神状态，聚精会神干事创业。"
第二版 组织工作,江苏宿迁市宿城区建干部困难需求数据库,,"本报宿城讯 （通讯员 刘洁 韩延展）近年来，江苏宿迁市宿城区建立干部困难需求数据库，收集干部的思想困惑、家庭困难等问题，帮助他们纾解难题、化解心结。
该区通过个人申请、单位申报、热线电话、暖心信箱等方式收集干部困难，并通过日常谈话、季度走访、年度考察等途径，近距离倾听干部心声。在此基础上，给予针对性关怀关爱：对思想压力大的干部，定期谈心谈话，排解疏导；对生活负担重的干部，借助党内关爱给予帮扶救助。截至目前，共收集各类需求103条，已有20人的困难得到解决。"
第二版 组织工作,有的要强 强的要优,,"
本报昆明讯 （通讯员 云祖轩）近日，云南省委印发《实施“基层党建创新提质年”总体方案》，并召开视频部署会，启动实施2019年“基层党建创新提质年”各项工作。这是云南在连续三年实施“基层党建推进年”“基层党建提升年”“基层党建巩固年”基础上，第4年以“主题年”形式统筹推进基层党建工作，旨在不断夯实党在边疆执政的组织基础。
“基层党建创新提质年”立足新形势新任务新情况，按照“统筹谋划、分类实施、无的要有、有的要强、强的要优”的思路，在提升组织力、强化政治功能，统筹布局各领域基层党建、推进重点任务落实、着力解决突出问题等方面提质创新，推动基层党建全面进步全面过硬。
加强政治建设创新提质。按照中央部署安排，高质量开展“不忘初心、牢记使命”主题教育。同时，把深入学习贯彻习近平新时代中国特色社会主义思想和党的十九大精神作为首要政治任务和长期工作主题，以“百名讲师上讲台、千堂党课下基层、万名党员进党校”为载体，运用“云岭先锋”夜校、微党课、故事党课等形式，教育引导党员干部读原著、学原文、悟原理，在学懂弄通做实上下功夫，在深化转化常态化上见实效。
加强支部规范化建设，在健全基层组织体系上创新提质。建立12类党支部规范化建设标准，探索构建党支部规范化建设的创建、考核、评选、奖励、惩处工作机制。深入开展“战斗堡垒工程”“先锋模范工程”，在乡镇（街道）全覆盖建立“青年人才党支部”，进一步建强基本组织、基本队伍。同时，围绕增强工作实效，规范开展支部主题党日，探索开展开放式主题党日、创意型组织生活；围绕实现常态长效，进一步落实“三会一课”、民主生活会等基本制度；围绕强化基本保障，进一步强化党建经费保障机制。
以提升组织力为重点，加强各领域基层党建创新提质。在农村，以“整县提升、整乡推进、百村示范、千组晋位”为抓手，加强农村基层党组织标准化规范化建设。在城市，深入开展城市基层党建示范引领行动，进一步做强街道、做优社区、做实系统、做活治理。在国企，落实党的领导与公司治理有机融合的制度安排，把企业党组织内嵌到公司治理结构中。在机关，加大机关党建“灯下黑”问题整治力度，大力弘扬“跨越发展、争创一流；比学赶超、奋勇争先”精神。在事业单位，建立和落实高校、公立医院、科研院所党组织领导下的校长（院长、所长）负责制。在两新组织，探索建立社会组织党建考核评价机制，全面开展各级两新组织党工委向同级党委和上级党工委“双向述职”。在边境地区，继续深化边疆党建长廊建设；在藏区，把藏区基层党组织建设成依法治藏、富民兴藏、长期建藏、凝聚人心、夯实基础的坚强战斗堡垒。
探索开展“智慧党建”，推动基层党建信息化创新提质。重点推进基础党务信息化、党员电子身份认证，开发运用发展党员信息管理系统、党员涉嫌违纪违法信息管理系统、党代表信息管理系统等。推动“互联网+党建”进机关、企业、学校、园区、两新组织和流动党员群体全覆盖，并融合“互联网+政务服务”、“一部手机办事通”、农村电商、普惠金融等资源，逐步实现全省“互联网+党建”“一张网”全覆盖。"
第二版 组织工作,突出边疆民族特色 提振担当作为精气神,,"本报景洪讯 （通讯员 西组轩）春节后一上班，云南西双版纳州就发布了《2018-2022年西双版纳州干部教育培训规划》，部署干部教育培训五年工作，要求突出边疆民族地区特色，提振干部担当作为精气神。
该州始终把学习贯彻习近平新时代中国特色社会主义思想作为干部教育培训最重大的政治任务，推动学习教育往心里走、往深里悟、往实里做。该州要求，每年举办领导干部综合能力素质提升培训班100余期，培训干部2万人次。教学安排以习近平新时代中国特色社会主义思想和党的十九大精神课程为主，理论教育和党性教育的比重超过总课时的70%。州、县两级党校（行政学校）的主体班次都设置党性教育课程，1个月以上的班次安排学员进行党性分析，到干部党性教育基地开展现场教学，确保党性教育课程不低于总课时的20%。方式方法上，灵活采取用民族干部宣讲、用民族语言讲解、用民族文字阐释、用民族节庆展示、用民族文化体现的教育方式，编译傣文版十九大报告、党章，在各类媒体开设傣语、哈尼语十九大宣传专栏，引领边疆各族人民心向党、听党话、跟党走、感党恩。
服务事业发展、服务干部健康成长、助推经济社会跨越发展，成为该州干部教育培训的使命。该州完善干部教育培训内容体系，从党的基本理论教育、党性教育、专业化能力培训、知识培训、开放意识培养五个方面提出具体要求，着力培养又博又专、底蕴深厚的复合型干部，使之做到既懂经济又懂政治、既懂业务又懂党务、既懂专业又懂管理。立足西双版纳自然资源富集、民族风情浓郁、沿边区位优越、制约因素较多的实际，突出问题导向、实践导向，组织开展务实管用的专题培训。围绕把西双版纳建设成为面向东南亚重要枢纽目标，有针对性地开展对外开放专题教育培训，着力增强干部大局意识、开放意识、创新意识和全球化意识。围绕积极主动参与中国——中南半岛经济走廊以及中国——东盟自贸区、澜湄合作机制建设，抓好国际经济运行规则、地缘政治环境、市场经济知识等方面的学习培训，提高干部内外统筹、双向开放的能力。加强地方历史、民族文化等方面知识的学习培训，引导干部了解西双版纳，研究西双版纳，推动西双版纳发展。
该州坚持问题导向、目标导向、效果导向相统一，从培训机构、师资队伍、课程教材、培训方式方法、干部教育培训和互联网融合发展、学风建设、经费保障、理论研究等方面，大力提升培训质量。每期主体班开展学习成效、学习收获测试，培训中实行考勤制、积分制管理，培训后对教师授课情况进行无记名问卷评估、对干部参训情况进行综合性考核。改进教学方式，推进教育培训由传统的“理论灌输式”向“讲授+研讨”的互动式拓展，由单一的“课堂讲授式”向“课堂+基地”的实践式拓展，由枯燥的“听讲式”向“听讲+互动”的体验式拓展。州委组织部与北京市朝阳区委组织部、上海市松江区委组织部签订合作框架协议，借助两地先进的发展理念、优质的培训资源，采取干部双向挂职、两地培训、委托培养和组团式支教、支医、支农等方式，加强干部人才交流培养。充分利用流动党校不受时间、地域限制的特点，将形式多样、内容丰富的党课延伸到县、乡、村，解决基层党员干部教育培训难的问题。每年组织骨干教师成立宣讲团，采取大规模、全覆盖送教上门的方式，将中央、省、州精神及时传达到基层一线。建立健全干部教育培训质量评估制度，坚持定量与定性相结合，完善质量评估指标体系，全面推进干部教育培训机构办学质量、项目质量、课程质量。"
第二版 组织工作,上海：做浸润心灵的党性教育,,"本报上海讯 （通讯员 沪组）近年来，青年白领已成为上海就业群体的主力军，为此，上海积极探索青年白领党员党性教育有效路径，引领带动他们投身中国特色社会主义伟大事业。
突出政治引领，做主题鲜明的党性教育。大力加强青年白领党员集中的两新组织党建工作，充分发挥党支部战斗堡垒作用，通过多种形式深入开展习近平新时代中国特色社会主义思想和党的十九大精神学习宣传，扎实推进“两学一做”学习教育常态化制度化，探索形成一批主题鲜明、思想内涵丰富的党性教育活动品牌。比如，以纪念马克思诞辰200周年为契机，推出“给90后讲讲马克思”音频党课，安排8位熟悉“90后”话语体系的市委党校青年骨干教师作为主创，制作专题课程，为青年白领党员全方位呈现马克思人物形象。音频党课在全国12个省区市的广播电台同步播出，首讲在线收听超过50万人次。
注重方法创新，做浸润心灵的党性教育。推出“我的电影党课”主题品牌活动，采用观看电影与党课教育有机结合的方式，精选兼具思想性、艺术性的优秀国产影片，让青年白领党员在观影中接受党性教育。其中，电影《我是医生》讲述了中科院院士吴孟超丹心报国的先进事迹，放映前，95岁高龄的吴院士为观影的青年白领党员做了主题报告。大家纷纷表示：“过去看电影是为了娱乐，没想到还可以受教育，这样的党课我们喜欢。”
推进线上线下联动，做参与互动的党性教育。在开展青年白领党员党性教育时，引入“互联网+”理念，打破限时、限地、限人的束缚，做到全媒体全过程推送、线上线下联动、课内课外互动。既让来到现场“面对面”的党员受到教育，也让线上“键对键”的党员参与其中；既聚焦青年白领党员群体这个“少数”，也对他们身边的“多数”产生引领。"
第三版 人才,手到病除的“工业医生”,,"
十几秒火光闪过，厚度不超0.5毫米铝制品的小孔已被无缝焊接。要知道，薄铝类金属一直被称为“焊接禁区”，极易焊穿。而征服“禁区”的丁照民，绝活可不止这一项。
零部件安装、设备维修、技术焊接……在富奥汽车零部件股份有限公司泵业分公司里，遇到这些难题，工友们都爱找丁照民。“维修焊工就是‘工业医生’。”说起自己的工作，丁照民有着清晰的定位。因为总是“手到病除”，年近50岁的他，每天“档期”都满满的。
从学徒工到首席高级技师，丁照民扎根车间一线，一干就是30多年。凭借钻、韧、勤、悟的劲头，一项项技术难题被攻克。他也因此获得全国劳动模范、全国技术能手等荣誉称号，成为国家级技能大师工作室带头人，不久前，他还荣获第十四届中华技能大奖。
勤钻活学，练就多面手
1986年，16岁的丁照民接父亲的班，成了泵业分公司（原一汽制泵厂）的焊工学徒。
“师傅教导格外严格，每天早上都要拿出两包焊条，每包120来根，让我没活儿就练功，必须都给化焊。”有段时间，他练得胳膊都抬不起来，“挺苦的”，但丁照民坚持了下来。
一般来说，一名合格焊工3年才能出徒，但由于几乎把所有时间都用来练技，丁照民半年就出徒了。一年后，初出茅庐的他，在厂里组织的焊接比赛中夺得第三名，成为令所有人惊叹的“黑马”。此后，他的技艺不断成熟，先后多次在省、市级焊接技能比赛中斩获金牌。
随着技术水平的提高，不时有厂里的工程师拿着图纸找丁照民加工。当时，对于能自主设计并绘制图纸，丁照民打心眼里羡慕。那时的他，只有初中文化，没经过任何培训，对机械制图更是一窍不通，便买书自学。不少人说：“你一个工人整那些有啥用啊？搭钱还浪费时间。”可丁照民的犟脾气一上来，八头牛也拉不住：“不学会决不罢休！”一有时间，他不是捧着书本看，就是趴在纸上画。自学不解渴，他还利用业余时间自修了机械制造设计大专及本科课程。
凭借一股钻劲，丁照民不仅将机械制造设计研究精通，还陆续把铆、钳、锻等技术学到手，成为一名符合时代需要的复合型高技能人才。
作为业务精湛的多面手，面对急难险重任务，丁照民总是冲锋在前，屡立奇功。在进口的卧式加工中心主轴防护装置出现损坏、影响生产任务的紧急情况下，他勇挑重担，综合运用自身所学，在极短时间内成功加工出主轴防护的替代品，且成本仅为进口件的1%，开创了进口设备专用配件自制的先例。他还巧修了720加工中心抓紧装置、铝模具、德国16加工中心水冷电机等多台进口设备，为企业节省了大量采购和维修成本。
胆大心细，创新促发展
“做任何工作都要有一股韧劲，严谨专注，还要敢于创新。”对于工匠精神，丁照民有着自己的理解。多年来，他立足岗位大胆革新，自主研发适宜生产加工的各类器具，极大提高了生产效率和产品质量，降低了工人劳动强度，改善了工作环境。
2012年，分公司新厂区即将建成投产。为全面提高新厂区管理水平，公司提出要杜绝厂房铁屑飞溅、油污满地的现象，300余台设备急需做主动防护装置。公司领导将这项时间紧任务重的工作布置给了丁照民。
每台设备的型号、结构迥异，必须逐一测绘、设计、制作、安装、调试，工作量大且繁琐。回忆起那段时间，工友和家人说丁照民“像着了魔一样”。早晨六点到公司，晚上九点才离开，回到家话也不说，坐在沙发上闷头思考。有时睡到半夜，一骨碌爬起来，拿起笔就开始写写画画。
在持续一年的着魔状态中，丁照民按期完成了全部300余台设备的主动防护，不仅为公司节约了100多万元的资金，也减少了噪音和污染。
丁照民善于总结、勤于思考。他发现，装配工人作业时，需不停从身边成摞的零件盘中取件，盛放零件的托盘会随着加工进程逐盘递减，到后期，工人不得不一次次弯腰取件。几番尝试后，丁照民研发出一款填补行业空白的装配工位升降机，当盘内零件被取光后，下一盘会自动上升，提高工效40%。
华晨发动机链轮壳体在生产线周转过程中磕碰严重，丁照民经过反复琢磨，研制出一款周转车，并专门设计制造了2条工件周转流水线，既能防止工件损伤，又可提高生产效率、减轻工人劳动强度。
30年多来，丁照民自主研发工位器具150件，完成大小各类创新成果600多项，多数得到了广泛推广应用。他自主研发的装配工位升降机、湿式除尘净化器、激光标识旋转工位3项技术已申报国家专利。
甘当人梯，无私传技艺
“一个人再能耐，作用也有限。装备制造业要想发展得好，东北老工业基地要想振兴，离不开技艺的传承。”怀抱这份强烈的社会责任感，丁照民不遗余力地带徒弟、传绝技。
“师傅对我们毫无保留，看家本领都倾囊相授。有耐心，也十分严格，总强调要‘始终如一对零件负责’。”已经是高级技师的“大师兄”周绍华说。
严师出高徒。丁照民所带的本单位多名徒弟在省、市技能比赛中均名列前茅，并都已取得电焊工高级技师资格。
2010年，辽源市技师学院邀请丁照民到校义务讲课。尽管工作繁忙，他还是痛快地答应了，每个月都要挤出两天时间去上课。“我了解孩子们学技术、挣饭碗的渴望，更深知国家对高技术人才的迫切需求。我希望能用自己的努力多培养一些年轻人，帮助他们成长为新一代的技能大师。”丁照民说。
在他的精心指导下，该校焊接毕业生的初级工职业技能鉴定通过率由40%猛升到80%以上。目前，丁照民已先后带出400多名优秀学员，培养出2名省级首席技师、9名高级技师、16名技师。
2014年，“丁照民国家级技能大师工作室”落户辽源市技师学院，这是吉林省首个在技师学院建立的工作室。作为“掌门人”，丁照民率领当地各行业首席技师组成团队，一方面广传技艺，一方面集各家所长，共同破解市内企业在机械技术上的各种“疑难杂症”，完成攻关改善项目56项，节约价值达590万元，被盛赞为白求恩式技术“医疗队”。"
第三版 人才,林毅夫：创新理论 不负时代,,"北京大学英杰交流中心灯火辉煌，荣获“改革先锋”称号的著名经济学家、北京大学教授林毅夫，正跟数百名师生分享40年来中国经济发展的辉煌历程。
“中国改革开放40年取得的成绩是人类经济史上的奇迹。”他感慨地说，“这40年是一个理论创新的金矿，我们应该感谢这个时代。”
林毅夫与改革开放一路同行。1979年，27岁的他怀揣“振兴中华”的理想，从台湾返回祖国大陆，进入北大经济学系学习。20世纪80年代，他赴美深造，获经济学博士后回国，之后在北大、国务院农村发展研究中心等多个岗位上工作。
多年来，他以全球发展眼光、中西合璧的理论学养，在中国经济体制改革转型理论方面不懈探索。他长期关注中国经济改革与发展，成果丰硕，为我国经济学理论创新作出重要贡献，还参与了国企改革、金融体制改革、电信体制改革等一系列重要的改革政策制定。
2008年，林毅夫出任世界银行首席经济学家，成为这一岗位上的首位中国人。他走遍上百个国家，探寻全球发展之路。4年后重返北大，提出“新结构经济学”。
不同于西方主流经济学，“新结构经济学”是林毅夫植根于改革开放实际，总结中国与其他发展中国家的经验教训提出的新理论。其主张有效的市场与有为的政府相结合，力图为发展中国家探索一条发展新路。
林毅夫认为，中国与其他发展中国家条件相似，其发展转型经验颇具借鉴意义。“作为理论工作者，我们有责任把中国改革开放的成功经验总结出来，这不仅对中国今后发展会有贡献，对其他发展中国家也会有指导借鉴意义。”
2018年12月，由林毅夫创立的北京大学新结构经济学研究中心升级为研究院。“我们必须总结发展中国家成败的经验教训，形成新的理论体系和思路，这是新结构经济学的方向。”他说。
而经过两年多实践发展，由林毅夫担任院长的北大南南合作与发展学院现已成为发展中国家学习交流的新平台。来自50个国家的150多名学员深入中国各地，了解中国改革开放实践，也探寻着本国的发展之路。
如今，林毅夫仍在不断探索，将中国的经验与理论应用至其他发展中国家，帮助其实现发展转型。他说，改革开放取得的成绩是理论创新的重要源泉，“我们有幸身处这个时代，就应抓住时代机遇，不辜负这个时代。”
（新华社北京1月12日电 记者 魏梦佳）"
第三版 人才,贵州纳雍：“5个100”工程激发本土人才活力,,"本报纳雍讯 （通讯员 张应旭）近年来，贵州纳雍县实施“5个100”人才工程，按照优秀农业技术人才、优秀教育工作人才、优秀医护专业人才、优秀工程行业人才、优秀文化艺术人才5个分类，分别建立100人的人才库，为脱贫攻坚提供坚强的人才保障。
该县对进入“5个100”人才库的各类人才，实行重点管理、重点培养、重点支持，给予发放政府津贴、优先选拔聘用、支持交流学习等优惠措施。分别明确将其作为推进全县农业产业结构调整和实施乡村振兴、推进基础教育工程、落实医疗保障、发展工程技术和经济金融行业、打造“中国诗乡”和推进文化建设的中坚力量。同时，配套建立“5个100”人才县级领导联系制度、定期座谈沟通。成立以县委书记任组长的领导小组，落实经费保障，每年预算100万元专项经费。加大宣传力度，营造尊重人才的良好环境，推动人才为脱贫攻坚献计出力。"
第三版 人才,图片报道,,"
近日，新疆柯坪县组织各类优秀文化人才120余人深入基层一线开展“优秀文化人才新春走基层”活动，向基层群众送去歌舞表演、非物质文化遗产展示、技艺传授等形式多样的文化大餐。图为该县文工团舞蹈演员在辅导村级文化工作者民族舞蹈动作。
候志华 窦天龙 摄影报道"
第三版 人才,山东昌邑：实施青年企业家素质提升工程,,"本报昌邑讯 （通讯员 刘磊杰）近年来，山东昌邑市以实施青年企业家素质提升工程为抓手，着力解决青年企业家管理能力不足、实践经验不够的问题，激发其创新创造创业活力。
该市为对接课程设置需求，集中开展大走访活动，深入全市266家规模以上企业进行调研摸底，重点摸清100多名青年企业家成长经历、知识结构、发展需求和运营难题，列出“问题清单”。先后组织40余名青年企业家到浙江大学、上海交通大学举办工商管理、新旧动能转换等高端专题培训班。邀请知名专家学者、企业家来昌举办讲座，并采取“送学上门”的方式，深入企业一线，为青年企业家提供指导。选取部分优秀企业家与本行业成长性好、潜力大的企业负责人结成帮扶对子，促进交流合作。"
第三版 人才,湖北恩施州深化东西部人才扶贫协作,,"本报恩施讯 （通讯员 蔡望雄）近年来，湖北恩施土家族苗族自治州抓抢国家东西部扶贫协作人才支援机遇，立足推动人才合作开发与脱贫攻坚、产业发展深度融合，科学编制《恩施州对接实施杭州市人才支援项目专项规划（2017—2020年）》，因地制宜确定干部挂职、干部人才培训、人才交流学习三大类的帮扶项目。
组建驻杭州市扶贫协作联络服务处，借力借智借资源，实施以选派100名以上干部挂职和深化100所以上医院、学校结对为主要内容的“双百交流”行动，以培养1000名以上专业技术人才“领头雁”和2000名以上创业致富“领头雁”为主要内容的“双千领头雁培养”行动，持续加大选派培训、交流学习力度，构建多层次、多领域的人才培育机制。目前，该州共选派97名党政人才赴杭州市挂职锻炼，454名专业技术人才交流学习，1992名干部人才培训学习，干部人才带领群众脱贫致富和创业致富的能力得到提升。"
第三版 人才,献智献资助力家乡发展,,"本报东阳讯 （通讯员 卢纯佶 吴磊）春节期间，浙江省东阳市认真贯彻落实省委、市委关于开展“三服务”活动的要求，抢抓人才返乡契机，借助县、镇、村三级人才平台，组织开展回乡人才“四百”行动，进一步促进人才、项目、技术、智力、资本等优质要素回归。
举行百场人才慰问恳谈活动。春节期间，市四套班子领导分成7组，慰问回乡高层次人才代表50多名，送去慰问的同时，征求人才对家乡发展的建议和意见，共计收到30余条。截至目前，全市各级共走访慰问人才1075名，举办乡贤联谊座谈会106场，初步达成人才项目合作意向12个，总投资达2.3亿元。
建立百名重点人才信息库。去年年底，东阳建立完善融合创新中心信息平台，根据东阳特色产业，按照影视文化、磁性材料、医药化工等7大板块收集重点产业人才信息。春节期间，深入开展全市返乡人才信息摸排工作。由村具体摸排，乡镇具体组织和统一登记。对有返乡创业创新意向的，由各镇乡党委进行综合分析研判。同时，对各类人才中有价值的项目信息搜集梳理，由乡镇建立人才项目信息库。截至目前，东阳县一级收录的产业发展重点人才已达130余人，镇、村一级收录的各类人才乡贤已达5200余人。
启动百名乡贤振兴乡村计划。春节前夕，东阳围绕建设美丽乡村、消除集体经济薄弱村、推进善美村治等重点领域和关键环节，在县、镇、村三级聘请了100名乡村振兴专家顾问。同时发动镇乡街道收集整理了50个需要人才支撑的乡村振兴项目，利用在外人才回乡过节期间，结合项目具体情况、需重点解决的问题以及2019年工作计划，与专家学者进行了初步的探讨和对接，提出20余个解决对策。虎鹿镇虎峰村组织开展2019年村庄创业事项领办活动。短短几十分钟的座谈会，包括“十美村”创建节点打造、结对困难户、村公共区域景观建设等在内的4个乡村振兴项目被5位回乡人才抢认一空。
开展百个难题智企对接活动。收集整理100个企业技术难题，通过东阳籍教授博士群、东阳人才网、东阳融创中心信息平台向广大海外东阳籍人才发布，征求相关解决方案。截至目前，共收到解决方案30余个。为进一步放大活动效果，召开东阳籍海外海归人士新春座谈会，来自世界各地的科研院校代表、创新创业人才代表、侨团侨领代表以及青年海归代表等60余人欢聚一堂，围绕东阳产业发展，初步达成20余个人才项目合作意向。"
第三版 人才,四川宜宾叙州区：“编外智囊团”助力经济发展,,"本报宜宾讯 （通讯员 陈新 阳明）近年来，四川宜宾市叙州区致力于打好引才“乡情牌”，用乡情凝心聚才引智，通过叙州区籍人才引人才、家乡产业聚人才、家乡亲情政策吸人才，汇聚人才共推家乡发展。
建立博士座谈会长效机制，进一步汇聚人才智力。先后召开博士恳谈会和首届博士论坛，37名来自清华、北大等知名大学及海外高校的专家、人才为推动区域经济社会跨越发展提供“金点子”，达100多条。
以乡情为纽带，开展人才引项目、人才带项目，促进对接合作，达成人才合作交流项目25项，主要包括专业化人才引进、高层次人才培训等内容。共达成产业合作项目28个，主要包括新能源汽车关键零部件、智能制造、新材料、绿色农林和现代服务业，协议总投资137.11亿元。"
第三版 人才,山西晋中：向市委联系高级专家发放津贴,,"本报晋中讯 （通讯员 燕婷）近日，山西省晋中市为第六届市委联系高级专家发放2018年度专家津贴，共计53.28万元，津贴标准比去年翻了一番。此外，还为每名专家订阅了党报党刊，组织了健康体检。
近年来，晋中市不断加强专家服务工作，认真落实专家人才待遇政策，发放津贴、订阅党报党刊、组织体检都是每年一度的规定动作。去年10月，晋中市出台了《市委联系高级专家服务管理办法》，从范围对象、管理服务、政治引领和政治吸纳、发挥作用四个方面对进一步做好专家联系服务工作做出明确规定，并将市委联系专家津贴从200元/月提高到400元/月。做到对专家人才政治上充分信任、思想上主动引导、工作上积极支持、生活上关心照顾，为他们发挥聪明才智创造良好条件。"
