标题,标题1,作者,内容
第二版 组织工作,强化四型导向 推动三考统筹,,"
本报长春讯 （通讯员 郭维）近日，长春市2018年度市管班子和领导干部年度考核结果出炉。结合综合研判情况，该市从127个市管班子中评选出好班子27个，从850名市管干部中选树优秀干部132人，切实发挥考核指挥棒作用，进一步激励市管班子和广大干部真抓实干、担当作为。
2018年，长春市委组织部聚焦老工业基地全面振兴、全方位振兴这一总目标，认真贯彻中央统筹规范督查检查考核工作精神，突出履行知事识人、服务发展基本职能，坚持在市管班子年度考核中强化率先发展的实绩型导向、作用发挥的功能型导向、分类考核的差异型导向、统筹规范简便的务实型导向“四型”导向，把过程管理与年度评定、定量评价与定性评价、组织考核与群众评价结合起来，探索建立考人、考事、考绩相统筹的工作机制，不断提升年度考核针对性、科学性、实效性。
贴紧全市发展大局，该市聚焦核心业绩、工作实绩，着眼“五个升级版”和“六个目标”，按照高于上届班子、高于上年度、高于全省平均、高于全国平均、高于多数副省级城市的“五个高于”标准，突出考察各地各部门核心任务和重点工作完成情况，将“以实绩论英雄”贯穿年度考核始终。
该市贴紧班子运行状况，聚焦政治生态、执政能力，对日常了解掌握有反映的班子进行重点研判，切实摸清班子情况；由“事”及人，既看显绩更看潜绩，不简单以数字论英雄，更加注重考核打基础、利长远的工作成果，在充分考虑工作基础、职能任务、外部影响、客观条件、历史遗留等情况的前提下，加强对班子整体功能和干部主观努力程度等方面的分析研判，系统评价班子领导水平、担当表现和整体功能发挥情况。
对于市直部门，该市探索实行“5+3+1”分类考核工作法。“5”是在市直部门中区分经济管理、社会事业、执法监督、政务综合、党委群团5个基本类别，分类确定考核重点，实行差异化考核，避免“一刀切”“一锅煮”；“3”是按照考核的时间频度、评价维度和领导班子的业绩向度，从不同的逻辑层面，对市直部门班子实行立体式考核评价；“1”是建立市直部门班子负面清单，实行“一票否优”，或者“一票降档”。对于县（市）区，按照县（市）、城区、开发区三大功能板块，分类进行考核评价。
围绕破解多头考核、重复考核、频繁考核等问题，该市强化考核工作统筹规范简便的务实型导向。注重加强与市绩效办及相关绩效管理部门的沟通联系，年度考核实行统一编组、只考一次、共同研判，使班子考核与绩效考评结果共享，变物理叠加为化学反应，实现平时考核、专项考核与集中考核有机统一，有效减轻基层迎考负担，提升了考核工作效率和质量。
在此基础上，该市结合半年考核和平时了解情况，从思想政治建设、工作业绩与成效、团结协作与整体功能、党风廉政建设等方面，对班子进行加权量化评分，搞好综合分析研判，强化考核结果运用。"
第二版 组织工作,兑现承诺 盘点清单,,"1月17日，宁夏回族自治区党委召开2018年度地级市党委和自治区各行业系统党（工）委书记抓基层党建述职评议考核会。此次党建述职评议考核，将问题导向贯穿全过程，全面推动基层党建工作任务落实，让各级党组织书记普遍接受了一次“党建大考”。
开门交账 盯住问题一个一个解决
“认真落实去年反馈问题，94.9%的村有了集体经济收入，非公经济组织和社会组织党组织覆盖率分别达到79%和51%。”“全额落实村级办公经费和为民服务资金4931.5万元，新建、改扩建村级组织活动场所48个。”……一个个精准的数字后面，兑现的是承诺，解决的是问题。
坚持问题导向、聚焦解决问题，按照要求，述职人在说成绩之前先汇报上年度反馈问题整改情况。据统计，2017年梳理反馈的28个问题，已全部整改。
此外，本次述职确立了“简要讲成绩、重点谈问题”的“考场纪律”，大家晒成绩言简意赅，谈问题直面痛点。“推动责任落实还有差距，农村党组织带头人‘头雁’效应还不够明显”“在抓基层党建上，听汇报多，面上提要求多，需要在今后工作中加以改进”……述职人既点出了党组织层面问题，也坦承了个人履职不足。
每名述职人员汇报后，自治区党委书记石泰峰都逐一点评，直指短板，切中要害，对需要加强和改进的工作提出明确要求。例如，针对国有企业重经济轻党建问题，他严肃指出“有的企业党委和领导干部政治意识不强、政治站位不高、党的建设乏力”，要求“进一步强化政治建设和抓党建的责任意识，从基本组织、基本队伍、基本制度严起，围绕企业改革发展和生产经营找准党建工作的突破口和发力点”。一些述职人会后感叹：“泰峰书记的点评精准到位，让人脸红冒汗，但心服口服。为了明年少冒汗，今年必须多流汗，将工作做得更实。”
盘点清单 紧扣重点一项一项梳理
为确保述职汇报不敢假、领导点评把正脉、考核测评有依据，去年12月，自治区党委组织部组成5个督查调研组，通过直接问、随机考、多方听、全面看等方式，对全区基层党建工作进行了督查调研。督查调研组深入机关、企业、乡镇、村、社区等176个基层党组织，访谈党员干部288人，听取基层党组织和党员群众的意见。
现场检验的是抓党建的态度和实效。2018年，该区各级党组织把基层党建紧紧抓在手上、责任扛在肩上，不断探索新思路、新方法，取得了良好成绩：新建、改扩建村级组织活动场所683个；坚决调整撤换不胜任、不合格、不尽职村党组织书记248名，确定5000余名村党组织书记后备人才；选派3941名干部组成1512个工作队驻村帮扶，选派1512名优秀干部到贫困村和软弱涣散村担任党组织第一书记，实现1100个建档立卡贫困村全覆盖……
明确目标 党建责任一层一层压实
述职会既是一次同台竞技的工作交流会，也是一次把脉问诊的工作部署会。会上，石泰峰对大家的点评，为各地各单位今年的基层党建工作明确了任务书、画出了“路线图”。
石泰峰在述职会讲话中强调，各级党委（党组）要用好党建工作述职评议考核机制，抓实联述联评联考，建立各级党组织抓基层党建的责任清单，将管党治党责任层层进行分解，把责任压紧压实，构建横向到边、纵向到底的责任体系，切实把党建责任传导到“神经末梢”、任务落实到“基层细胞”，坚决纠正“上热中温下冷”现象。
述职结束后，自治区党委组织部向述职单位反馈问题33条，各级党组织也向下级党组织反馈了问题和意见。各级党组织对照会议点评、自己查摆、群众评议中指出的问题，逐一建立问题台账、责任台账、整改台账，确保在下一年度述职评议时逐一“交账”。"
第二版 组织工作,图片报道,,"
近日，新疆柯坪县组织3000余名县直单位党员干部深入联系点开展“拜大年·话脱贫”活动。图为该县组工干部同农村“四老人员”讨论2019年村级扶贫项目。
 候志华 温想太 摄影报道"
第二版 组织工作,定制培训提升干部专业能力,,"本报垫江讯 （通讯员 垫组）近年来，重庆垫江县从培训需求、培训课程、培训方式、培训师资等方面着手，开展“定制服务”，加强干部专业化能力培训，提升培训科学化水平。
结合重点工作项目，该县在深入调研的基础上，推动重点部门编制岗位胜任能力模型。在此基础上，通过面谈、调查问卷等方式，开展干部个人能力分析，找出干部在专业能力上的差距，为培训工作提供明确的目标和着力点。每次开班之前，选取5名学员代表探讨工作中的疑难困惑，找准组织需求、岗位需求、个人需求结合点。
该县紧紧围绕中心任务和重点工作，紧密结合高素质专业化干部队伍的建设要求，设计专业化培训班次，定制专业化培训课程。2018年，重点开设了乡村振兴、精准脱贫攻坚、城市规划建设管理、生态文明建设等专题培训班次，科学分析干部专业化能力的内涵和支撑要素，设计了涵盖专业知识、专业思维、专业素养、专业方法的新型培训课程体系。
坚持“请进来”与“走出去”相结合，该县邀请各行业、各系统的专业师资，在每个专题培训班次灵活应用案例教学、情景模拟、桌面推演等方式，专题讲授专业知识；建立干部到沿海发达地区，到对口市级机关，到县内东部新区、征地拆迁、信访接待等急难险重岗位“三个维度”挂职锻炼培养体系，重视干部专业经历打磨、专业宽度拓展、专业经验累积，全面增强执政本领。
该县采取“1+1”的课程研发方式，1名党校年轻教师确定1个研究方向，以乡村振兴、脱贫攻坚、城建规划等当前重点工作为主要研究方向，提升党校专职教师研发专业课程的精准性和实效性。要求党校教师利用寒暑假，到乡镇（街道）和重点部门驻点实地调研、挂职锻炼，增强对专业化岗位的了解和专业化职责的掌握，准确把握专业化能力培训中的重点难点问题，全力打造一支素质优良、业务精通的专业化师资队伍。"
第二版 组织工作,贵州三穗：线上线下全覆盖轮训脱贫干部,,"本报三穗讯 （通讯员 罗周）为提升党员干部融入脱贫、参与脱贫、推动脱贫本领，2018年以来，贵州三穗县坚持建载体、育师资、抓轮训、督考评，全覆盖轮训4871名党员干部。
该县按照“线下+线上”同步原则，创建县、乡、村、组四级线下轮训阵地150个，搭建线上指尖学习平台23个。围绕精细化育强轮训师资目标，从省内外高校、省州党校、政府部门等单位，遴选50名专家学者组成轮训辅导团，从县委讲师团、万名农业专家团队、县直部门、致富带头人等群体中，挖掘培育轮训讲习员队伍400名。根据党员干部差异化、分众化特点，菜单式设计扶贫政策解读、党建扶贫等30类课程，开展线下培训120场次，开展线上视频联动培训58场次。每期集中轮训均以闭卷方式进行知识考试，推动干部从考试中寻找差距、比学赶超。"
第二版 组织工作,江苏宝应立体问需提高培训精准度,,"本报宝应讯 （通讯员 杨健）近期，江苏宝应县突出问需导向，坚持点面结合，着力构建精准务实的问需体系，提升干部教育培训实效。
坚持面上问需发展，该县围绕市县全会精神，聚焦高质量发展目标，紧扣全县经济社会发展中心，邀请县两办政策研究人员共同参与谋划，确定2019年培训重点方向和重点班次；坚持点上问需干部，根据不同层级、不同条线、不同性别、不同年龄阶段、不同学历层次、不同任职经历干部特点，分类设计调查问卷，通过手机掌上课堂APP，动态收集干部在学习内容、学习形式及考核考评等方面的需求和建议，分类建立干部教育培训需求库；侧面多维印证，将培训问需与考核了解干部结合起来，通过年度考核、日常调研，及时发现干部的能力短板、知识空白，及时掌握干部培训需求。"
第二版 组织工作,干部在脱贫一线“过筛子”,,"选派驻村工作队员402人、第一书记124人驻村开展帮扶工作
安排4622名干部挂包8862户建档立卡贫困户
共提拔使用60名在脱贫攻坚一线敢于担当、实绩突出、群众公认的干部
本报祥云讯 （通讯员 李东杰 罗刚 姜凯旋）近年来，云南祥云县牢牢抓住干部这个关键因素，坚持干部在一线培养锻炼、在一线考察识别、在一线选拔任用，旗帜鲜明地树立在脱贫攻坚一线考察识别干部和选拔任用干部的导向，引导广大干部积极投身脱贫攻坚，锤炼培养了一支奋战在脱贫攻坚一线的“祥云铁军”，为决战脱贫攻坚提供坚强的组织保障。
围绕脱贫攻坚和补齐干部短板需要，该县积极为广大党员干部在脱贫攻坚一线搭建干事创业平台，选派驻村工作队员402人、第一书记124人驻村开展帮扶工作，实现64个贫困村均有副科级以上领导干部担任工作队长，选派2批次20名推优干部到乡镇担任扶贫专干，选派16名优秀干部到县脱贫办脱岗工作，选派3批次22名缺乏基层工作经历和领导经历的科级干部到乡镇挂任党政副职，安排4622名干部挂包8862户建档立卡贫困户。下派干部精准把握脱贫政策，走村入户问需于民、问计于民、问效于民，在推进脱贫攻坚中锤炼过硬政治品质和党性修养。
该县出台驻村扶贫工作队员季度测评办法、驻村扶贫工作队员召回办法等规定，通过实地检查、电话督查、随机抽查等方式，对驻村扶贫工作队员和挂包干部在岗和履职情况进行督促检查，压实工作责任。近年来，共对30名认识不到位、措施不聚焦、效果不明显的干部进行召回处理，对工作不负责任、帮扶不到位的135名挂包干部进行通报批评。全县各级干部围绕中心、服务大局，把脱贫攻坚作为当前最大的政治任务，进村入户，查贫情、解民忧，打通直接联系服务群众的最后一公里。
为激励干部担当作为，该县改进和完善考察识别干部的机制和方法，定期开展脱贫攻坚一线干部考核考察、脱贫攻坚一线领导班子和领导干部综合分析研判，建立脱贫攻坚考核评价沟通协调机制，通过谈心谈话、现场观摩、走访群众、座谈了解等多种方式，了解收集干部在推动精准脱贫中的政治品质、能力素质、工作实绩等情况，建立干部脱贫攻坚实绩档案，把干部在脱贫攻坚一线的实绩和成效，作为考察识别干部的“试金石”，以成效倒逼干部在落实脱贫攻坚责任中增强学习和政治领导本领，在谋划推进产业发展中增强改革创新和科学发展本领，在为民办事中增强依法执政和群众工作本领，真正让广大干部在基层练就硬功夫，有力推动脱贫攻坚政策措施落地见效。
在保持乡镇党政正职和分管扶贫开发工作的领导干部相对稳定的基础上，该县牢固树立在面向基层选拔使用干部的鲜明导向，近年来，共提拔使用60名在脱贫攻坚一线敢于担当、实绩突出、群众公认的干部，其中扶贫专干13名、乡镇干部34名。建立脱贫攻坚一线公开推荐优秀干部制度，从县级机关、县管企事业单位选派的乡镇扶贫专干、第一书记、驻村扶贫工作队员中公开推荐优秀干部30名，纳入后备干部管理培养。"
第二版 组织工作,山西安泽四课堂提升素质能力,,"本报安泽讯 （通讯员 常宏杰 李峰）去年以来，山西安泽县委组织部开设理论、红色、实践、廉政四个课堂，狠抓自身建设，全面提升组工干部综合素质。
该县坚持每周一学、每月一讲，组工干部结合工作实际轮流上台讲课，全面提升理论素养和业务水平；定期组织组工干部到红色革命教育基地接受党性教育，身临其境感悟红色精神、践行初心使命；选派组工干部下沉基层，在包联村创建组工干部党建示范田，建立轮值管护制度，轮班驻村抓示范田管护，带动集体经济增收，巩固脱贫成效，转变组工干部作风；举办廉政教育专题党课，常态化开展勤廉典型、案例警示等教育，提高干部拒腐防变能力。"
第三版 人才,增强人才区域竞争力,,"日前，广东省江门市立足经济社会高质量发展需要，出台《关于进一步集聚新时代人才建设人才强市的意见》（以下简称“《意见》”），围绕引才、育才、成才、留才精准施策靶向发力，以政策引人才、以平台聚人才、以服务留人才，打造具有区域竞争力的人才政策体系，构筑人才发展新高地。
以政策引人才
拓宽范围加大力度
相比以往的引才政策，江门市本次出台的《意见》立足实际、聚焦精准，具有以下特点：引才范围广，既有诺贝尔奖获得者、两院院士等顶尖人才，也有博士、博士后等高层次人才，还有各类高技能人才，同时根据产业发展需要将硕士研究生、本科毕业生纳入引才扶持范围。为贯彻落实习近平总书记在全国民营企业座谈会上的讲话精神，《意见》出台专门扶持民营企业引才的政策，对民营企业需求强烈、呼声最高的大学生、技能人才提供引才补贴。
《意见》在注重引进外来人才的同时，还大力培育发展本地人才。鼓励扶持本地企业专业技术人员晋升等级，专业技术人员晋升正高级、副高级职称，分别给予5万元、2万元补贴。培育本土领军人才，经评审后，对创业领军人才最高给予300万元创业项目资助，对创新领军人才最高给予200万元专项工作经费资助。培养本土产业人才，对诚信绿卡骨干企业的管理团队，给予专项补贴。对高技能领军人才，给予每人每月2000元生活补贴，最长期限3年。
此外，《意见》注重发挥社会力量引才。鼓励社会力量举荐人才，对人才中介组织、猎头机构和个人举荐人才的，按人才分类给予适当补贴。注重以才引才，聘请战略科学家作为市政府产业发展战略顾问，参与市产业发展规划、重大科技计划制定和重要攻关项目遴选，对战略科学家举荐产业顶尖人才和国家级、省级领军人才并带产业项目落地的，按产业项目效益评估，给予最高100万元工作补贴。选聘国内一流科研院所、咨询机构、行业协会和知名企业的专家人才，组成江门特色新型“专家智库”，为引进重点项目、重大科技方面的高端人才提供服务。
以平台聚人才
构建干事创业大舞台
《意见》聚焦大平台大载体建设，为各类人才提供广阔的创新创业平台和事业发展空间，使英雄有用武之地。
聚焦人才载体，建设人才集聚高地。在江门市西江总面积12.68平方公里的一个江心绿岛，建设江门人才岛。人才岛初期投资280亿元，规划打造育才、聚才、云才三大类业态，力争建设成为立足江门、服务粤港澳大湾区、面向全球的国际人才云基地。江门市试点建成全国首个博士后创新示范中心。在人才引进、人才服务、人才发展等方面探索博士后工作的新模式、新路径，努力创建可推广、可复制的新经验。
聚焦人才发展，助力人才在江门干事创业。人才创新创业需要解决“水土不服”的问题。《意见》立足江门产业发展实际，鼓励和支持人才在符合江门产业发展方向的领域创新创业，着力改良人才创新的“土壤”，形成创新创业的“地缘效应”。顶尖人才带产业项目落地的，最高给予1亿元产业项目补贴。对高层次人才创业初期通常面临资金筹措的问题，创新给予最高60万元启动资金，并设立创业创新引导基金，吸引社会资本参与，支持高层次人才创新创业。
以服务留人才
建立管理服务新机制
能否吸引、留住人才，能否做到人人尽展其才，关键在于为他们解决后顾之忧。《意见》大力实施四个创新，使各类人才在江门安心安身安业。
创新组建市人才工作局。江门市委高度重视人才工作，创新组建作为市委工作机关的人才工作局，归口市委组织部管理，深化人才管理体制改革，进一步加强党对人才工作的集中统一领导。
创新实施人才政策兑现承诺制。以往的人才政策存在政府审批流程多、兑现时间长的问题，严重影响人才干事创业的积极性。《意见》创新实施承诺制，享受人才政策的单位和个人，按规定承诺后，采用“先发后审”的方式，加快人才政策兑现落地。
创新“人才管家”服务。以政府购买社会服务形式，创新引入社工机构，选配专业社工作为“人才管家”，为各类高层次人才提供个性化服务。实施人才安心保障计划，切实为人才解决住房、子女入学、配偶安置等实际问题。
创新人才管理服务信息系统。以往的人才管理服务虽然有政策、有机构、有跟踪，但是权责不明、界限不清，导致跟踪不到位。《意见》创新提出建立江门市人才“安居乐业”生态园信息系统，充分运用互联网、云计算和大数据等信息化手段，实现人才管理服务科学化、规范化、专业化，构筑人才发展“生态圈”。
"
第三版 人才,陈景润：激励青年勇攀科学高峰的典范,,"蜗居于6平方米小屋的数学家陈景润，借着一盏昏暗的煤油灯，伏在床板上，用一支笔，耗去了几麻袋的草稿纸，攻克世界著名数学难题“哥德巴赫猜想”中的“1+2”……1978年，徐迟报告文学《哥德巴赫猜想》发表，数学家陈景润的故事传遍大江南北。
陈景润的先进事迹和奋斗精神，激励着一代代青年发愤图强，勇攀科学高峰。在庆祝改革开放40周年大会上，他被授予“改革先锋”荣誉称号。
1933年5月，陈景润生于福建省福州市。他从小是个瘦弱、内向的孩子，演算数学题占去了他大部分的时间，旁人觉得枯燥无味的代数方程式让他充满幸福感。1953年，陈景润毕业于厦门大学数学系。由于他对数论中一系列问题的出色研究，受到老一辈数学家华罗庚的重视，被调到中国科学院数学研究所工作。
“哥德巴赫猜想”这一200多年悬而未决的世界级数学难题，被誉为“数学皇冠上的明珠”，是陈景润一生为之呕心沥血、始终不渝的奋斗目标。一个关于他忘我钻研数学问题的故事广为流传：陈景润走路边想边走，有一次他碰到路旁的大树上，连忙道歉，可是并没有反应，他仔细一看，才知道自己碰的是一棵白杨树。
1973年，陈景润发表了“1+2”详细证明，在国际数学界引起轰动，被公认是对“哥德巴赫猜想”研究的重大贡献，是筛法理论的光辉顶点。有数学家给他写信：“你移动了群山。”他的研究成果，国际数学界称之为“陈氏定理”，至今仍在“哥德巴赫猜想”研究中保持世界领先水平。
陈景润后来当选为中科院学部委员，荣获国家自然科学奖一等奖、华罗庚数学奖等。尽管享有很高的声誉，但他说：“在科学的道路上我只是翻过了一个小山包，真正的高峰还没有攀上去，还要继续努力。”
1996年3月，在患帕金森氏综合征10多年之后，由于突发性肺炎并发症造成病情加重，陈景润终因呼吸循环衰竭逝世，终年63岁。
（新华社北京1月2日电 记者 董瑞丰）"
第三版 人才,“三级联动”引乡土人才回归,,"本报开封讯 （通讯员 杜文豪）近期，河南省开封市城乡一体化示范区高度重视乡土人才联络和回归工作，利用春节期间外出人员集中返乡的有利时机，三级联动“引凤还巢”。
以上率下带动。示范区领导带头上阵，入村到点，深入联系点见人才、听意愿，送温暖、送服务。主动作为促动。各乡（场）街道抢抓时间、细化措施，将各村（社区）任务分解到每个班子成员、每个站所，逐村（社区）派出力量，因地制宜，分类指导，推动工作落地生根。务实重干推动。村（社区）“两委”班子成员、全体党员分工负责、包户到人。对在外人员进行摸排联系、入户登记，召开乡土人才恳谈会，了解返乡创业意愿，推介家乡新变化。
截至目前，区乡村三级召开部署推进会89场，组织乡村干部走访254次，建立微信联络群61个，印发“致在外乡土人才的一封信”2012份，排查在外创业及务工人员335人，将186人纳入乡土人才库。"
第三版 人才,图片报道,,"
近年来，浙江省江山市通过举办“江山人发展大会”、建设驻外人才工作站、聘请乡贤担任引才大使等举措深挖乡贤人才资源，凝聚在外乡贤力量，吸引乡贤人才项目回归。图为技能人才在该市乡贤回乡投资建成的针织智能制造产业园中作业。 宋佳璐 姜层层 摄影报道"
第三版 人才,安徽宿州 桥区：实施农村实用人才培育工程,,"本报宿州讯 （通讯员 陈纪强）近年来，安徽省宿州市埇桥区紧贴精准扶贫工作需求，实施农村实用人才培育工程，初步建立了整体联动、选育结合的工作机制。
甄别人才，扩大库存。摸清人才底数，将特色产业专业大户1025人、农民专业合作社领办人1288人、农村经纪人1058人纳入人才库。开展农村实用人才认定，将在种植、养殖等方面有技术专长的1342名人才纳入认定范围。
广泛培训，提升素质。举办各类技术培训班109期，培训农民技术员1.2万名，培训农民经纪人和市场营销员1000多名；组织产业带头人、致富能手赴无锡、潍坊等地学习10余次；支持村干部、农村致富能人参加各类学历教育；向农民发放各类电教片1万余盘。
激励人才，深化帮扶。支持农村实用人才领办创办各类经营组织，在土地流转、创业贷款等方面给予扶持；出台现代农业发展专项扶持政策，每年拿出2000万元，对科技示范户及龙头企业和创业基地等进行补贴；制定农村实用人才奖扶办法，对取得职称的农村实用人才实行动态管理，年度考核被定为称职以上档次的可以晋级职称，并按照初级360元/年、中级720元/年、高级1200元/年的标准发放补助。"
第三版 人才,湖南古丈科技小分队入村助脱贫,,"本报古丈讯 （通讯员 龙成）近年来，湖南省古丈县紧紧围绕县域经济发展，抓实科技特派员“分类组团、联村建队、积分双考”管理，最大限度地发挥科技人才作用，助力打赢脱贫攻坚战。
古丈县采用“大兵团+小分队”的模式，以科技培训和农技服务为核心，选派123名专家组成茶叶、林果、粮作、畜牧、电子商务、文化旅游、烟叶7个类别的科技专家小分队，派驻7个镇103个村。2018年，举办各类农民实用技术培训162期次、培训农民5000余人次，发放各类培训资料2万余份，选送各类专技人才到湖南农业大学进修40余人次，培养出一批“土专家”“田秀才”，全面提升乡土人才科学素养、职业技能和创新创业能力，有效地助力脱贫攻坚、助推乡村振兴战略。"
第三版 人才,内蒙古鄂托克前旗引导人才向基层一线流动,,"本报鄂托克前旗讯 （通讯员 赵英杰）近年来，内蒙古鄂托克前旗在完善机制、强化培养和搭建载体上下功夫，着力引导各领域人才投身基层一线，为乡村振兴和脱贫攻坚提供强有力的人才支撑。
该旗打造“马兰英才”政策升级版，聚焦人才引进、素质提升、职业支持、环境优化和服务体系建设等方面，制定办法政策，鼓励和引导各领域人才向基层一线流动。围绕建设面向全国的优质农畜产品交易中心、打造内蒙古西部优质有机果蔬生产基地的目标，组建荒漠草原绒山羊高效养殖技术研究创新人才团队和智慧农牧业新技术新品种推广服务团队，吸纳68名农牧业领域人才在基层一线选题、在基层一线创业。加大在基层一线锻炼培养人才的力度，制定《鄂托克前旗优秀专家人才服务基层实施方案》，组织各领域人才深入基层一线开展义诊、扶贫等活动，“帮带式”培育一批本土实用人才，2018年，组织270名人才深入基层一线开展各类服务30余次，为基层一线培养教育、卫生等领域人才560名。"
第三版 人才,推动爱国奋斗精神落地生根,,"本报西安讯 （通讯员 西电轩）连日来，西安电子科技大学认真贯彻落实习近平总书记对弘扬爱国奋斗精神作出的一系列重要指示精神，多措并举，生动传播爱国主义精神，唱响爱国主义主旋律，努力推动“弘扬爱国奋斗精神、建功立业新时代”活动在学校落地生根、掀起高潮。
加强统筹指导。把开展“弘扬爱国奋斗精神、建功立业新时代”活动作为一项重要的政治任务，加强组织领导，研究印发《西安电子科技大学关于在全校开展“弘扬爱国奋斗精神、建功立业新时代”活动的实施方案》，并在校党委理论学习中心组学习扩大会议上进行专项工作安排部署。印发《关于在全体学生中开展“爱国·奋斗·使命·担当”主题教育活动的通知》，激励学生胸怀爱国之情、笃行奋斗之志、勇担使命之重、实践报国之行。
开展学习讨论。组织开展“升国旗、唱国歌，重温入党誓词”活动，广泛开展“我的中国梦”主题班会，开展“晒家训、讲家风”主题教育实践活动，举办“我与西电共奋斗”主题教育活动。举行新进辅导员“弘扬爱国奋斗精神 建功立业新时代”主题教育活动暨宣誓仪式。排演大型交响合唱音乐会《长征组歌》《黄河大合唱》、大型原创话剧《永不消逝的电波》等一系列校园文化精品，打造涵养家国情怀的育人环境。组织师生集体观看《青年马克思》《李保国》《杨善洲》等主题影视作品。
注重典型引领。校党委书记郑晓静院士以“我们一起从西电出发”为题，为新生讲授“开学第一课”，以无数艰苦奋斗、自强不息的西电故事勉励同学们做担当民族复兴大任的新时代西电人。积极宣讲校史，持续做好“迁校60周年”“西电往事”系列专题报道，推出“使命·担当——西安电子科技大学迁校60周年纪念展览”，展现老一辈西电人激扬爱国奋斗精神的先进事迹。结合教师节表彰，认真做好“师德先进个人”“师德标兵”先进典型宣传工作。持续推进党员先锋工程，开展党员“不忘初心·牢记使命”主题教育活动，开展“牢记时代使命，书写人生华章”为主题的党日活动。
融入社会实践。以习近平总书记给“青年红色筑梦之旅”大学生的回信精神为指引，开展“红色筑梦”暑期专项实践活动。组织“青年红色筑梦之旅”——赴“一带一路”国家（越南）海外宣讲团，走出国门，宣讲中国特色社会主义理论；启动“红色筑梦”国内专项，164支学生队伍带着创新创业项目、带着调研课题，走进全国各地革命老区、贫困地区，助力脱贫攻坚；实施“红色筑梦”——一院一品对接一校一镇计划，15个学院对接蒲城县15个中小学开展教育扶贫志愿服务活动，成立“红色筑梦”云支教公益联盟。"
第三版 人才,广西阳朔外引内育民宿人才,,"本报阳朔讯 （通讯员 刘勤干）近年来，广西阳朔县通过“外引内育”民宿人才，为民宿业快速发展壮大提供了有力的人才保障。
该县依托高校资源培智，通过人才培训示范点，深化研修办学、合作交流等人才培养方式，与桂林旅游学院等高校建立交流合作机制，为高校毕业生提供实习实践创新基地。搭建人才交流服务平台，成功举办2018民宿高端人才发展国际论坛、阳朔莲峰揽才育才计划发布会、首届外来企业高级管理人才研讨会等系列活动，促成了一批民宿行业领袖代表进驻阳朔投资兴业。落实《阳朔县委常委联系服务优秀人才工作制度》，表彰阳朔十大优秀民宿人才、十大优质民宿，激发民宿人才创新创业热情。成立阳朔民宿学院，配齐硬件设施和师资力量，精准培养专业化、本土化、实用化人才，2018年培训民宿管家、导游员、乡村旅游经营户等各类民宿旅游从业者约1200人次。"
